step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
245,25149,245,0.07778915365985913,0.0,0.5714285714285714
246,25278,246,0.09029338706404814,0.0,0.42857142857142855
247,25367,247,0.08784001384631748,0.0,0.7142857142857143
248,25480,248,0.05212363067234817,0.0,0.8571428571428571
249,25577,249,0.11666038217643895,0.0,0.5714285714285714
250,25674,250,0.16538508520432516,0.0,0.42857142857142855
251,25755,251,0.10392324870903394,0.0,0.5714285714285714
252,25836,252,0.0949593905893853,0.0,0.42857142857142855
253,25949,253,0.08242668727676833,0.0,0.5714285714285714
254,26046,254,0.07833343155570523,0.0,0.5714285714285714
255,26183,255,0.10819007571841426,0.0,0.2857142857142857
256,26256,256,0.11997624382907007,0.0,0.5714285714285714
257,26345,257,0.10266041560527149,0.0,0.5714285714285714
258,26490,258,0.06676201742186094,0.0,0.7142857142857143
259,26619,259,0.07175383437564961,0.0,0.5714285714285714
260,26724,260,0.123723146001083,0.0,0.42857142857142855
261,26789,261,0.1327979295780824,0.0,0.5714285714285714
262,26870,262,0.15489776651910508,0.0,0.2857142857142857
263,26951,263,0.10336108064471046,0.0,0.7142857142857143
264,27032,264,0.09443615603708896,0.0,0.7142857142857143
265,27233,265,0.05426690843823017,0.0,0.5714285714285714
266,27410,266,0.046994243485718144,0.0,0.7142857142857143
267,27507,267,0.10223550688577232,0.0,0.5714285714285714
268,27596,268,0.09532393750399273,0.0,0.5714285714285714
269,27693,269,0.05167208429992266,1.0,1.0
270,27782,270,0.08872957060212767,0.0,0.7142857142857143
271,27903,271,0.08430019048861383,0.0,0.8571428571428571
272,28008,272,0.09733636960055894,0.0,0.5714285714285714
273,28105,273,0.0814556525268684,0.0,0.5714285714285714
274,28210,274,0.08470168984920749,0.0,0.7142857142857143
275,28291,275,0.08320224346960459,0.0,0.7142857142857143
276,28412,276,0.09118817813114341,0.0,0.2857142857142857
277,28525,277,0.08128589695799747,0.0,0.5714285714285714
278,28654,278,0.09605721039617493,0.0,0.2857142857142857
279,28751,279,0.0860067674448904,0.0,0.8571428571428571
280,28840,280,0.07515013445601984,0.0,0.7142857142857143
281,28953,281,0.06939494311237855,0.0,0.5714285714285714
282,29010,282,0.2193905810699133,0.0,0.42857142857142855
283,29171,283,0.05854375753642126,0.0,0.7142857142857143
284,29252,284,0.07677652946257149,0.0,0.5714285714285714
285,29325,285,0.06788838670566393,1.0,1.0
286,29422,286,0.07720311732628032,0.0,0.7142857142857143
287,29551,287,0.07720706402833458,0.0,0.7142857142857143
288,29600,288,0.18818533989358305,0.0,0.2857142857142857
289,29721,289,0.09377933186034594,0.0,0.42857142857142855
290,29786,290,0.08494396925947514,0.0,0.8571428571428571
291,29867,291,0.17414092604255713,0.0,0.14285714285714285
292,29996,292,0.0865573144962491,0.0,0.7142857142857143
293,30085,293,0.07254324363776092,0.0,0.8571428571428571
294,30158,294,0.08307362256380858,0.0,0.7142857142857143
295,30255,295,0.1363722671461892,0.0,0.42857142857142855
296,30392,296,0.0651745164393009,0.0,0.7142857142857143
297,30553,297,0.06927803019578277,0.0,0.2857142857142857
298,30650,298,0.10806907094901058,0.0,0.42857142857142855
299,30803,299,0.05949211426888246,0.0,0.7142857142857143
300,30876,300,0.27425867205796145,0.0,0.2857142857142857
301,30949,301,0.16102587304608376,0.0,0.2857142857142857
302,31014,302,0.14333476391868316,0.0,0.5714285714285714
303,31103,303,0.0890403129712054,0.0,0.5714285714285714
304,31192,304,0.1011412539272781,0.0,0.42857142857142855
305,31249,305,0.11512200942628883,0.0,0.7142857142857143
306,31330,306,0.1024675628367695,0.0,0.2857142857142857
307,31443,307,0.16880902484957397,0.0,0.42857142857142855
308,31588,308,0.06725090207053452,0.0,0.5714285714285714
309,31733,309,0.07404846447823932,0.0,0.42857142857142855
310,31862,310,0.06104458958902342,0.0,0.5714285714285714
311,32023,311,0.09857742370641792,0.0,0.2857142857142857
312,32104,312,0.07689698549418245,0.0,0.8571428571428571
313,32225,313,0.051370856688028044,0.0,0.8571428571428571
314,32322,314,0.07305168991281485,0.0,0.5714285714285714
315,32435,315,0.06559874810808781,0.0,0.7142857142857143
316,32548,316,0.05885193270119739,0.0,0.5714285714285714
317,32653,317,0.09779004097714698,0.0,0.7142857142857143
318,32726,318,0.08043606894708823,0.0,0.7142857142857143
319,32807,319,0.0686429093235056,0.0,0.7142857142857143
320,32928,320,0.06439285566767891,0.0,0.7142857142857143
321,33017,321,0.06443803764789746,0.0,0.7142857142857143
322,33106,322,0.06186205866811758,0.0,0.8571428571428571
323,33235,323,0.04239283792967399,0.0,0.8571428571428571
324,33300,324,0.14541878976025602,0.0,0.42857142857142855
325,33365,325,0.08061895939966689,0.0,0.5714285714285714
326,33462,326,0.14958858155198262,0.0,0.2857142857142857
327,33567,327,0.10484899113802384,0.0,0.7142857142857143
328,33696,328,0.04421808700028123,0.0,0.8571428571428571
329,33785,329,0.05396830325923889,0.0,0.7142857142857143
330,33866,330,0.15676191930424832,0.0,0.5714285714285714
331,33995,331,0.04789664506461123,0.0,0.7142857142857143
332,34092,332,0.07701712384475588,0.0,0.42857142857142855
333,34165,333,0.18561820169419255,0.0,0.42857142857142855
334,34246,334,0.10241437659086661,0.0,0.5714285714285714
335,34359,335,0.055156863886420195,0.0,0.8571428571428571
336,34440,336,0.08987622244856902,0.0,0.8571428571428571
337,34537,337,0.0920894639268954,0.0,0.7142857142857143
338,34610,338,0.16999396247084306,0.0,0.2857142857142857
339,34739,339,0.09274835265343426,0.0,0.42857142857142855
340,34860,340,0.09311296647864704,0.0,0.42857142857142855
341,34957,341,0.10407811260325009,0.0,0.5714285714285714
342,35054,342,0.0992037829319209,0.0,0.42857142857142855
343,35191,343,0.07054232320321985,0.0,0.7142857142857143
344,35272,344,0.08033347432489973,0.0,0.8571428571428571
345,35369,345,0.10678837488322947,0.0,0.2857142857142857
346,35458,346,0.08948899584938773,0.0,0.7142857142857143
347,35563,347,0.09220619132782584,0.0,0.42857142857142855
348,35668,348,0.08481929343954946,0.0,0.42857142857142855
349,35725,349,0.2511761227691645,0.0,0.42857142857142855
350,35846,350,0.07463160901908608,0.0,0.7142857142857143
351,35991,351,0.0959530312871276,0.0,0.42857142857142855
352,36080,352,0.0807703336621423,0.0,0.7142857142857143
353,36153,353,0.09371460312317746,0.0,0.7142857142857143
354,36226,354,0.10507839427032094,0.0,0.7142857142857143
355,36307,355,0.10693553392740435,0.0,0.42857142857142855
356,36388,356,0.16166752567169898,0.0,0.2857142857142857
357,36477,357,0.1304494597488718,0.0,0.42857142857142855
358,36550,358,0.08604719696906007,0.0,0.8571428571428571
359,36647,359,0.10131796907264892,0.0,0.5714285714285714
360,36776,360,0.09870965654319662,0.0,0.42857142857142855
361,36865,361,0.09831960891823242,0.0,0.5714285714285714
362,36970,362,0.08474677016589201,0.0,0.7142857142857143
363,37043,363,0.11376902633404826,0.0,0.42857142857142855
364,37132,364,0.07219870882796718,0.0,0.5714285714285714
365,37253,365,0.07827408942979915,0.0,0.42857142857142855
366,37390,366,0.04748889514152431,0.0,0.8571428571428571
367,37463,367,0.1002204141316987,0.0,0.5714285714285714
368,37552,368,0.14896845452672675,0.0,0.5714285714285714
369,37649,369,0.09312389145382136,0.0,0.42857142857142855
370,37754,370,0.09924781364368616,0.0,0.42857142857142855
371,37875,371,0.10460892850830958,0.0,0.2857142857142857
372,37980,372,0.13454654759663615,0.0,0.2857142857142857
373,38053,373,0.08759226536502764,0.0,0.8571428571428571
374,38134,374,0.07794390564619971,0.0,0.7142857142857143
375,38263,375,0.058498233334839826,0.0,0.8571428571428571
376,38360,376,0.08859717643632392,0.0,0.42857142857142855
377,38457,377,0.06281400201689999,0.0,0.8571428571428571
378,38514,378,0.2555149075481001,0.0,0.2857142857142857
379,38611,379,0.10407958667585263,0.0,0.5714285714285714
380,38764,380,0.04237547093585147,0.0,0.8571428571428571
381,38869,381,0.08196299543943428,0.0,0.7142857142857143
382,39006,382,0.053100823783865686,0.0,0.7142857142857143
